season,episode,title,date,genre,director,writers,stars,content
1,1,Pilot,"Mon, Sep 24, 2007","Comedy, Romance",James Burrows,"Chuck Lorre, Bill Prady, Johnny Galecki","Jim Parsons, Kaley Cuoco",Leonard (Johnny Galecki) states that the combined IQ of Sheldon (Jim Parsons) and himself is 360. In a later episode of season 1 Sheldon states his IQ as 187 meaning that Leonard's IQ is 173.
1,2,The Big Bran Hypothesis,"Mon, Oct 1, 2007","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Robert Cohen","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is the only time where a different camera angle for the staircase is seen, when they are trying to push up Penny's furniture."
1,3,The Fuzzy Boots Corollary,"Mon, Oct 8, 2007","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The song that Leonard (Johnny Galecki) is singing is ""Boston"" by Augustana."
1,4,The Luminous Fish Effect,"Mon, Oct 15, 2007","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Litt","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Mary Cooper (Laurie Metcalf) introduces herself as ""Sheldon's mother"" to Dr. Eric Gablehauser (Mark Harelik), Sheldon's boss, he says that's impossible and that she must've had Sheldon when she was a teenager. Laurie Metcalf is 17 years older than Jim Parsons."
1,5,The Hamburger Postulate,"Mon, Oct 22, 2007","Comedy, Romance",Andrew D. Weyman,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco",Johnny Galecki (Leonard) knows how to play the cello in real life.
1,6,The Middle Earth Paradigm,"Mon, Oct 29, 2007","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Litt","Johnny Galecki, Jim Parsons, Kaley Cuoco",It is revealed that Leonard (Johnny Galecki)'s middle name is Leakey. Leonard's father once worked with anthropologist Louis Leakey.
1,7,The Dumpling Paradox,"Mon, Nov 5, 2007","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","As Chen (the waiter at the Chinese restaurant) leaves Sheldon (Jim Parsons), Leonard (Johnny Galecki) and Raj (Kunal Nayyar)'s table, he mutters ""Young idiot"" under his breath in Cantonese."
1,8,The Grasshopper Experiment,"Mon, Nov 12, 2007","Comedy, Romance",Ted Wass,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","This episode was the final one to air before the 2007-2008 Writers Guild of America strike, which put a hiatus on television production for three to four months."
1,9,The Cooper-Hofstadter Polarization,"Mon, Mar 17, 2008","Comedy, Romance",Joel Murray,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","The 30 second video shot by Howard ""Physicists Gone Wild!"" is a real video which is still available in YouTube."
1,10,The Loobenfeld Decay,"Mon, Mar 24, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","This episode starts Sheldon's habit of repeatedly knocking on a door while repeatedly calling out to the person, although it is a series of four knocks instead of three."
1,11,The Pancake Batter Anomaly,"Mon, Mar 31, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco",The domed building visible from Leonard and Sheldon's apartment window is the Pasadena City Hall.
1,12,The Jerusalem Duality,"Mon, Apr 14, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","The ""shelf"" Howard (Simon Helberg) is building is actually an inverted Kodiak Sidewinder motorized step (painted silver), used for entering/exiting lifted trucks."
1,13,The Bat Jar Conjecture,"Mon, Apr 21, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Robert Cohen","Johnny Galecki, Jim Parsons, Kaley Cuoco","Raj suggests ""the actress who played TV's Blossom"" for their physics bowl team to replace Sheldon. That actress, Mayim Bialik, does have a Ph.D. in neuroscience. Bialik joined the show in the Season 3 finale and became a regular cast member in Season 4 as Dr. Amy Farrah Fowler. Raj also says, ""How about the girl from 'The Wonder Years'?"" He is referring to Danica McKellar, who has a degree in mathematics, coauthored a physics theorem, and appears in the Season 3 episode The Psychic Vortex (2010) as Abby. Coincidentally, in The Wonder Years (1988), her character's last name is Cooper."
1,14,The Nerdvana Annihilation,"Mon, Apr 28, 2008",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Robert Cohen","Johnny Galecki, Jim Parsons, Kaley Cuoco","During Sheldon's dream, the time machine's display reads ""802,701"". This is the same year in which Rod Taylor stops in the 1960 movie The Time Machine (1960)."
1,15,The Pork Chop Indeterminacy,"Mon, May 5, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","Missy (Courtney Henggeler) calls Sheldon (Jim Parsons) by his nickname, ""Shelly"", just like their mother (Laurie Metcalf)."
1,16,The Peanut Reaction,"Mon, May 12, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","The ER nurse, Althea (Vernee Watson), is the same person (or at least the same actress) as the waiting room nurse in the sperm bank from the Pilot (2007)."
1,17,The Tangerine Factor,"Mon, May 19, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco",The 'little crush' that Menelaus had on Helen of Troy was enough to launch the Trojan War when Paris of Troy stole her away.
2,1,The Bad Fish Paradigm,"Mon, Sep 22, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","The Department of Homeland Security does recommend having a pre-packed disaster evacuation bag (it's tip #12 of their top 30 tips), containing necessary supplies for three days. While Sarah Connor may not officially recommend one, she'd likely not be opposed since she spent a fair portion of her life trying to warn people in Teomineiteo 2 (1991) that Judgement Day was fast approaching."
2,2,The Codpiece Topology,"Mon, Sep 29, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco",This episode was watched by 8.76 million people with a rating of 3.3 (adults 18-49).
2,3,The Barbarian Sublimation,"Mon, Oct 6, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",This episode was watched by 9.33 million people with a rating of 3.7 (adults 18-49).
2,4,The Griffin Equivalency,"Mon, Oct 13, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is the first time Sheldon (Jim Parsons) says his famous line ""I'm not insane. My mother had me tested."""
2,5,The Euclid Alternative,"Mon, Oct 20, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","Gives a rare camera view of Leonard and Sheldon's apartment, from the vantage of the hallway that's normally seen to the back right, going to the bedrooms, allowing us to see the ""4th wall"" in the front of the apartment the camera normally sees through."
2,6,The Cooper-Nowitzki Theorem,"Mon, Nov 3, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Tim Doyle","Johnny Galecki, Jim Parsons, Kaley Cuoco",Riki Lindhome (Ramona) originally auditioned for the role of Penny.
2,7,The Panty Piñata Polarization,"Mon, Nov 10, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jennifer Glickman","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Leonard (Johnny Galecki) gives Penny (Kaley Cuoco) the number for Sheldon (Jim Parsons)'s mother, he paraphrases Harry S. Truman's secretary of war, Henry L. Stimson, who justified the use of the Atomic Bomb by stating that it will shorten the war by five years and save millions of lives."
2,8,The Lizard-Spock Expansion,"Mon, Nov 17, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","The game of ""Rock Paper Scissors Lizard Spock"" was invented by a software engineer named Sam Kass, who outlined the rules and hand gestures on his website in 1998. He, however, called it ""Rock Paper Scissors Spock Lizard""."
2,9,The White Asparagus Triangulation,"Mon, Nov 24, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon is correct in that a strawberry is not a fruit (it is derived from the ovary of a plant). It is actually an accessory fruit (derived from some tissue around the plant's ovary).
2,10,The Vartabedian Conundrum,"Mon, Dec 8, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon does in fact sing an octave above Middle C. Either Jim Parsons has perfect pitch, or he had some kind of audio cue to match the pitch."
2,11,The Bath Item Gift Hypothesis,"Mon, Dec 15, 2008","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco",The napkin really is signed by Leonard Nimoy. A photograph exists of Jim Parsons holding it up.
2,12,The Killer Robot Instability,"Mon, Jan 12, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",First appearance of Barry Kripke.
2,13,The Friendship Algorithm,"Mon, Jan 19, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The scene where Sheldon (Jim Parsons) tries to befriend the little girl in the bookshop is used in a training film by London's Metropolitan Police. It is designed to show how people with social disabilities can sometimes be unintentionally inappropriate.
2,14,The Financial Permeability,"Mon, Feb 2, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco",This episode was watched by 10.89 million people with a rating of 4.1 (adults 18-49).
2,15,The Maternal Capacitance,"Mon, Feb 9, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco",Christine Baranski received an Emmy nomination for her performance as Leonard's icy mother in this episode.
2,16,The Cushion Saturation,"Mon, Mar 2, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco",This episode was watched by 10.94 million people with a rating of 3.9 (adults 18-49).
2,17,The Terminator Decoupling,"Mon, Mar 9, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Tim Doyle","Johnny Galecki, Jim Parsons, Kaley Cuoco","On their way, Sheldon (Jim Parsons) talks about meeting George Smoot. Leonard (Johnny Galecki) is reading a book, ""Wrinkles in Time"", which Smoot co-wrote with Keay Davidson."
2,18,The Work Song Nanocluster,"Mon, Mar 16, 2009","Comedy, Romance",Peter Chakos,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco",A Penny Blossoms website was created as described.
2,19,The Dead Hooker Juxtaposition,"Mon, Mar 30, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Valerie Azlynn (Alicia) has, in fact, been in a CSI: NY (2004) episode, but not as a dead hooker."
2,20,The Hofstadter Isotope,"Mon, Apr 13, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco",First appearance of the comic book store.
2,21,The Vegas Renormalization,"Mon, Apr 27, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The ringtone on Howard (Simon Helberg)'s phone is Thomas Dolby's ""She Blinded Me with Science"", the same song used as the theme song in the The Big Bang Theory Unaired Pilot (2006), the original pilot that CBS passed on. Dolby's song was a perfect choice, as his early 80's geeky nerd persona was much like the Big Bang gang."
2,22,The Classified Materials Turbulence,"Mon, May 4, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The scene where the guys try to solve Howard's defective waste disposal system with spare parts that are also available to the crew on the International Space Station spoofs a similar scene in Apollo 13 (1995), in which NASA techs on Earth use objects also available to the Apollo 13 crew in an attempt to fix their failing carbon dioxide filtering system. This episode also has a scene where an astronaut calls to Houston to announce ""a little situation"" (analogous to the famous ""Houston, we have a problem"" line from Apollo 13)."
2,23,The Monopolar Expedition,"Mon, May 11, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","Marks the first time Sheldon says ""bazinga"" (often misspelled ""buzzinga"" in DVD subtitles). Parsons credits former show writer Stephen Engel with inventing the word. It became such a catchphrase on the show that a Brazilian species of orchid bee was later named 'Euglossa bazinga' in its honor, especially since this bee had long-time been confused with the Euglossa ignita, and had thus 'fooled' entomologists for years."
3,1,The Electric Can Opener Fluctuation,"Mon, Sep 21, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Leonard preserves a snowflake in a solution of polyvinyl acetal resin (also known as Formvar or Vinylec). This is a real thing. The trick was invented in 1940 by a General Electric researcher in Schenectady, NY, who adapted a technique used to cast copies of aluminum crystallization patterns. Before then, snowflake patterns could only be captured with microphotography."
3,2,The Jiminy Conjecture,"Mon, Sep 28, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Professor Crawley (Lewis Black) mentions ""having to move in with his daughter in Oxnard"", a town in California where Kaley Cuoco's father is a realtor."
3,3,The Gothowitz Deviation,"Mon, Oct 5, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Maria Ferrari","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon (Jim Parsons) says ""There are more things in heaven and earth, Horatio, than are dreamt of in your philosophy,"" he is quoting Hamlet in Act 1 Scene 5 of William Shakespeare's play."
3,4,The Pirate Solution,"Mon, Oct 12, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco",Raj says his friends may know his cousin Sanjay as Dave from AT&T Customer Service. Dave was the original name for the character before Kunal Nayyar was cast.
3,5,The Creepy Candy Coating Corollary,"Mon, Oct 19, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","""The Mystic Warlords of Ka'a"" card game was created by the art department specifically for this episode, which included designing actual playing cards. The designs of several cards (most notably ""Enchanted Bunny"") have been released by the show's producers since the first airing of this episode."
3,6,The Cornhusker Vortex,"Mon, Nov 2, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco",The Battlestar Galactica (2004) Cylon toaster Sheldon is shown using is a real product.
3,7,The Guitarist Amplification,"Mon, Nov 9, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco",First mention of Sheldon's father's name: George.
3,8,The Adhesive Duck Deficiency,"Mon, Nov 16, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","In this episode, Kunal Nayyar displayed his ear for accents when he accurately imitated costars Johnny Galecki's and Simon Helberg's American accents."
3,9,The Vengeance Formulation,"Mon, Nov 23, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Kripke pipes helium into Sheldon's office, he also pipes in oxygen from the green tank. As a scientist he is doing this to prevent a dangerously low level of oxygen but to still create the voice change of low-density gas exposure."
3,10,The Gorilla Experiment,"Mon, Dec 7, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The technical consultant, David Saltzberg, appears. He was the first person on the left that Howard passed when he entered the dining room introducing Bernadette as his girlfriend to everyone. (Look for the guy in the brown sweater vest at the first table)."
3,11,The Maternal Congruence,"Mon, Dec 14, 2009","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","Raj has no lines in this episode. He only appeared in one scene, and as Penny and Beverly were in the room, he did not get a chance to talk. However, he does whisper in Howard's ear to communicate."
3,12,The Psychic Vortex,"Mon, Jan 11, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco",The characters of Abby and Martha are actually a tribute to Joseph Kesselring's 아세닉 앤 올드 레이스 (1944). Abby and Martha are the names of the homicidal spinster aunts.
3,13,The Bozeman Reaction,"Mon, Jan 18, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","When leaving the apartment, Officer Hackett refers to the other officer as Bochco. Steven Bochco is well known for creating police shows such as NYPD Blue (1993) and Hill Street Blues (1981)"
3,14,The Einstein Approximation,"Mon, Feb 1, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is the 14th episode in the 3rd season (episode 3.14), Albert Einstein (whose name is in the title) was born on March 14th (3.14)."
3,15,The Large Hadron Collision,"Mon, Feb 8, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","As Judas was paid with 30 pieces of silver, Sheldon slaps down a tray with 30 pieces of silverware in front of Leonard."
3,16,The Excelsior Acquisition,"Mon, Mar 1, 2010","Comedy, Romance",Peter Chakos,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon misses out on meeting Stan Lee at a comic book signing because he must appear in traffic court. The nameplate on his bench shows the judge's name is Judge J. Kirby. Jack Kirby was a comic book artist who often worked alongside Stan Lee and helped create some of Marvel Comics' most popular titles.
3,17,The Precious Fragmentation,"Mon, Mar 8, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The number of prop rings made, as well as what happened to them, as quoted by the characters, actually mirrors the setup of Lord of the Rings as well. Howard claims that 9 prop rings were made (the 9 rings given to the race of Men), 3 were taken home by members of the cast (3 rings were given to the Elves), and the rest destroyed, leaving just this ring (the One Ring). In actuality, many more replicas were made over the course of shooting the films."
3,18,The Pants Alternative,"Mon, Mar 22, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","The song that Sheldon sings at the awards ceremony is ""The Elements"" by Tom Lehrer and Arthur Sullivan. It is a recitation of the elements (known in 1959 - 102) sung to the tune of ""Major General's Song"" from The Pirates of Penzance (1983). It is on Lehrer's album 'Songs and More Songs by Tom Lehrer'."
3,19,The Wheaton Recurrence,"Mon, Apr 12, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon tries to ""be the ball"", he performs a Vulcan mindmeld on it from Star Trek (1966), one of his favorite series."
3,20,The Spaghetti Catalyst,"Mon, May 3, 2010","Comedy, Romance",Anthony Rich,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","The purple t-shirt Sheldon wears bears the symbol of DC Comics' Star Sapphire Corp, the members of which wield power rings powered by Love, represented by the purple band of the emotional spectrum."
3,21,The Plimpton Stimulation,"Mon, May 10, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Howard mentions and Bernadette are broken up. The reason why is not revealed until ""The Hot Troll Deviation"" (S4E4)."
