,상호,주소,가격,셀프,상표,구
0,HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),1961.0,N,HD현대오일뱅크,용산구
1,HD현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),2079.0,N,HD현대오일뱅크,용산구
2,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),2099.0,N,GS칼텍스,용산구
3,(주)남경주유소,서울 용산구 녹사평대로11길 24,2186.0,N,SK에너지,용산구
4,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),2189.0,N,SK에너지,용산구
5,동자동주유소,서울 용산구 한강대로104길 6 (동자동),2281.0,N,SK에너지,용산구
6,HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),2281.0,N,HD현대오일뱅크,용산구
7,HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),2291.0,N,HD현대오일뱅크,용산구
8,한남지점,서울 용산구 한남대로21길 4 (한남동),2297.0,N,SK에너지,용산구
9,에너비스,서울 용산구 한남대로 82 (한남동),2297.0,N,SK에너지,용산구
10,한석주유소,서울 용산구 이촌로 164,2310.0,N,SK에너지,용산구
11,서계주유소,서울 용산구  청파로 367 (청파동),2971.0,N,GS칼텍스,용산구
12,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),1675.0,Y,GS칼텍스,노원구
13,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),1675.0,Y,HD현대오일뱅크,노원구
14,화랑대주유소,서울 노원구 화랑로 483,1675.0,Y,HD현대오일뱅크,노원구
15,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),1695.0,Y,S-OIL,노원구
16,삼육주유소,서울 노원구 화랑로 822 (공릉동),1725.0,Y,SK에너지,노원구
17,구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),1729.0,Y,S-OIL,노원구
18,한신주유소,서울 노원구 동일로 1089 (공릉동),1730.0,Y,SK에너지,노원구
19,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),1779.0,N,SK에너지,노원구
20,상계동주유소,서울 노원구 노원로26길 191 (상계동),1795.0,N,HD현대오일뱅크,노원구
21,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,1798.0,Y,GS칼텍스,노원구
22,신성주유소,서울 노원구 월계로 328 (월계동),1818.0,Y,S-OIL,노원구
23,월계주유소,서울 노원구 월계로 252,1819.0,Y,GS칼텍스,노원구
24,성북역주유소,서울특별시 노원구  광운로 95 (월계1동),1828.0,N,GS칼텍스,노원구
25,하계삼호주유소,서울 노원구 공릉로 294 (하계동),1875.0,N,GS칼텍스,노원구
26,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),1645.0,Y,HD현대오일뱅크,강북구
27,덕릉로주유소,서울 강북구 덕릉로 158 (번동),1645.0,Y,S-OIL,강북구
28,(주)자연에너지 번동주유소,서울 강북구 한천로 963 (번동),1645.0,Y,HD현대오일뱅크,강북구
29,(주)석산에너지,서울 강북구 삼양로 316 (수유동),1645.0,Y,HD현대오일뱅크,강북구
30,수유동주유소,서울 강북구 도봉로 395 (수유동),1661.0,Y,GS칼텍스,강북구
31,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),1669.0,Y,GS칼텍스,강북구
32,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),1689.0,Y,SK에너지,강북구
33,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),1690.0,Y,S-OIL,강북구
34,북서울고속주유소,서울 강북구 삼양로 410 (수유동),1715.0,Y,SK에너지,강북구
35,대성석유(주)신광주유소,서울 강북구 삼양로 484,1749.0,N,GS칼텍스,강북구
36,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),1674.0,Y,HD현대오일뱅크,종로구
37,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,1675.0,Y,SK에너지,종로구
38,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),1719.0,Y,HD현대오일뱅크,종로구
39,안풍주유소,서울 종로구 자하문로 303,1839.0,N,S-OIL,종로구
40,자하문주유소,서울 종로구 자하문로 248 (부암동),1845.0,Y,SK에너지,종로구
41,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),1850.0,N,S-OIL,종로구
42,㈜북악주유소,서울 종로구 평창문화로 137,1889.0,Y,GS칼텍스,종로구
