,상호,전화번호,주소,상표,부가정보,고급휘발유,보통휘발유,경유,,실내등유,구,세차장,24시영업
0,지에스칼텍스㈜ 은마주유소,02-3452-1882,서울 강남구 영동대로 235,GS칼텍스,"세차장, 경정비",1919.0,1719.0,1699.0,,0.0,강남구,O,X
1,HD현대오일뱅크㈜직영 강남셀프주유소,02-3462-0018,서울 강남구 도곡로 208,HD현대오일뱅크,세차장,1899.0,1719.0,1638.0,,0.0,강남구,O,X
2,오일프러스 셀프,02-3462-5100,서울 강남구 남부순환로 2651 (도곡동),SK에너지,"세차장, 경정비, 24시영업",1899.0,1719.0,1638.0,,0.0,강남구,O,O
3,(주)보성 세곡주유소,02-445-6870,서울 강남구 헌릉로 731 (세곡동),SK에너지,세차장,1928.0,1728.0,1589.0,,0.0,강남구,O,X
4,방죽주유소,02-459-3434,서울 강남구 밤고개로 215 (율현동),GS칼텍스,세차장,0.0,1737.0,1609.0,,0.0,강남구,O,X
5,HD현대오일뱅크㈜직영 도곡셀프주유소,02-529-5101,서울 강남구 남부순환로 2718,HD현대오일뱅크,"세차장, 경정비",1879.0,1739.0,1638.0,,0.0,강남구,O,X
6,HD현대오일뱅크㈜직영 산성셀프주유소,02-2226-4963,서울 강남구 헌릉로 730,HD현대오일뱅크,세차장,1969.0,1748.0,1618.0,,0.0,강남구,O,X
7,HD현대오일뱅크㈜직영 유진주유소,02-3462-5215,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크,"세차장, 경정비",1914.0,1749.0,1653.0,,1640.0,강남구,O,X
8,(주)선진도곡주유소,02-2058-3024,서울 강남구 도곡로 162 (도곡동),S-OIL,"세차장, 경정비",1944.0,1764.0,1658.0,,0.0,강남구,O,X
9,극동유화㈜ 개나리주유소,02-564-0186,서울 강남구 언주로 423 (역삼동),S-OIL,"세차장, 경정비, 24시영업",1995.0,1775.0,1625.0,,0.0,강남구,O,O
10,(주)중앙에너비스 수서지점,070-8707-4582,서울 강남구 광평로 202 (수서동),SK에너지,세차장,1997.0,1778.0,1657.0,,0.0,강남구,O,X
11,자곡셀프주유소,02-445-5841,서울 강남구 밤고개로 120 (자곡동),SK에너지,세차장,0.0,1778.0,1642.0,,0.0,강남구,O,X
